,,cid,name,type,notnull,dflt_value,pk
clientes,0,0,id,INTEGER,0,,1
clientes,1,1,nome,TEXT,1,,0
clientes,2,2,cpf,TEXT,0,,0
clientes,3,3,rg,TEXT,0,,0
clientes,4,4,cep,TEXT,0,,0
clientes,5,5,endereco,TEXT,0,,0
clientes,6,6,numero,TEXT,0,,0
clientes,7,7,cidade,TEXT,0,,0
clientes,8,8,telefone,TEXT,0,,0
clientes,9,9,celular,TEXT,0,,0
clientes,10,10,email,TEXT,0,,0
sqlite_sequence,0,0,name,,0,,0
sqlite_sequence,1,1,seq,,0,,0
usuarios_backup,0,0,id,INTEGER,0,,1
usuarios_backup,1,1,login,TEXT,1,,0
usuarios_backup,2,2,senha,TEXT,1,,0
usuarios_backup,3,3,email,TEXT,1,,0
usuarios_backup,4,4,nivel,TEXT,1,,0
pedidos,0,0,id,INTEGER,0,,1
pedidos,1,1,cliente_id,INTEGER,0,,0
pedidos,2,2,status,TEXT,0,,0
pedidos,3,3,hora_saida,TEXT,0,,0
pedidos,4,4,hora_entrega,TEXT,0,,0
pedidos,5,5,data,TEXT,0,,0
pedidos,6,6,tipo_pedido,TEXT,0,'delivery',0
pedidos,7,7,mesa_codigo,TEXT,0,,0
pedidos,8,8,numero_cliente,TEXT,0,,0
pedidos,9,9,observacao,TEXT,0,,0
produtos,0,0,id,INTEGER,0,,1
produtos,1,1,nome,TEXT,1,,0
produtos,2,2,descricao,TEXT,0,,0
produtos,3,3,valor,REAL,1,,0
produtos,4,4,estoque,INTEGER,1,,0
produtos,5,5,preco,REAL,0,0.0,0
itens_pedido,0,0,id,INTEGER,0,,1
itens_pedido,1,1,pedido_id,INTEGER,0,,0
itens_pedido,2,2,produto_id,INTEGER,0,,0
itens_pedido,3,3,quantidade,INTEGER,0,,0
itens_pedido,4,4,preco_unitario,REAL,0,,0
usuarios,0,0,id,INTEGER,0,,1
usuarios,1,1,nome,TEXT,1,,0
usuarios,2,2,login,TEXT,1,,0
usuarios,3,3,senha,TEXT,1,,0
usuarios,4,4,perfil,TEXT,0,'usuario',0
entregadores,0,0,id,INTEGER,0,,1
entregadores,1,1,nome,TEXT,1,,0
entregadores,2,2,cpf,TEXT,1,,0
entregadores,3,3,rg,TEXT,0,,0
entregadores,4,4,telefone,TEXT,0,,0
entregadores,5,5,placa,TEXT,0,,0
entregadores,6,6,cnh,TEXT,0,,0
entregadores,7,7,obs,TEXT,0,,0
entregadores,8,8,foto,TEXT,0,,0
entregadores,9,9,data_cadastro,TEXT,0,"strftime('%Y-%m-%d %H:%M:%S', 'now')",0
